,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
0,-1.0,0,xx,-9.7374664e+07,-9.737465e+07
1,-1.0,0,xy,3.2561354e-12,-9.737465e+07
2,-1.0,0,xz,0.027291197,-9.737465e+07
3,-1.0,0,yx,3.2561354e-12,-9.737465e+07
4,-1.0,0,yy,-9.737465e+07,-9.737465e+07
5,-1.0,0,yz,-0.09794264,-9.737465e+07
6,-1.0,0,zx,0.027291197,-9.737465e+07
7,-1.0,0,zy,-0.09794264,-9.737465e+07
8,-1.0,0,zz,-9.742636e+07,-9.737465e+07
9,-1.0,1,xx,-9.7374664e+07,-9.737465e+07
10,-1.0,1,xy,-0.0047729374,-9.737465e+07
11,-1.0,1,xz,0.04959255,-9.737465e+07
12,-1.0,1,yx,-0.0047729374,-9.737465e+07
13,-1.0,1,yy,-9.737465e+07,-9.737465e+07
14,-1.0,1,yz,-0.8128152,-9.737465e+07
15,-1.0,1,zx,0.04959255,-9.737465e+07
16,-1.0,1,zy,-0.8128152,-9.737465e+07
17,-1.0,1,zz,-9.742636e+07,-9.737465e+07
18,-1.0,2,xx,-9.7374664e+07,-9.737465e+07
19,-1.0,2,xy,-0.021171566,-9.737465e+07
20,-1.0,2,xz,0.07669282,-9.737465e+07
21,-1.0,2,yx,-0.021171566,-9.737465e+07
22,-1.0,2,yy,-9.737465e+07,-9.737465e+07
23,-1.0,2,yz,-1.5307406,-9.737465e+07
24,-1.0,2,zx,0.07669282,-9.737465e+07
25,-1.0,2,zy,-1.5307406,-9.737465e+07
26,-1.0,2,zz,-9.742637e+07,-9.737465e+07
27,-1.0,3,xx,-9.7374664e+07,-9.737465e+07
28,-1.0,3,xy,-0.0074488088,-9.737465e+07
29,-1.0,3,xz,-0.03003713,-9.737465e+07
30,-1.0,3,yx,-0.0074488088,-9.737465e+07
31,-1.0,3,yy,-9.737465e+07,-9.737465e+07
32,-1.0,3,yz,-2.3694518,-9.737465e+07
33,-1.0,3,zx,-0.03003713,-9.737465e+07
34,-1.0,3,zy,-2.3694518,-9.737465e+07
35,-1.0,3,zz,-9.742637e+07,-9.737465e+07
36,-1.0,4,xx,-9.7374664e+07,-9.737465e+07
37,-1.0,4,xy,-0.018164808,-9.737465e+07
38,-1.0,4,xz,-0.009952973,-9.737465e+07
39,-1.0,4,yx,-0.018164808,-9.737465e+07
40,-1.0,4,yy,-9.737465e+07,-9.737465e+07
41,-1.0,4,yz,-3.0910654,-9.737465e+07
42,-1.0,4,zx,-0.009952973,-9.737465e+07
43,-1.0,4,zy,-3.0910654,-9.737465e+07
44,-1.0,4,zz,-9.742636e+07,-9.737465e+07
45,-1.0,5,xx,-9.7374664e+07,-9.737465e+07
46,-1.0,5,xy,-0.016384866,-9.737465e+07
47,-1.0,5,xz,0.002870974,-9.737465e+07
48,-1.0,5,yx,-0.016384866,-9.737465e+07
49,-1.0,5,yy,-9.737465e+07,-9.737465e+07
50,-1.0,5,yz,-3.8709633,-9.737465e+07
51,-1.0,5,zx,0.002870974,-9.737465e+07
52,-1.0,5,zy,-3.8709633,-9.737465e+07
53,-1.0,5,zz,-9.742637e+07,-9.737465e+07
54,-1.0,6,xx,-9.7374664e+07,-9.737465e+07
55,-1.0,6,xy,-0.014417892,-9.737465e+07
56,-1.0,6,xz,-0.016755655,-9.737465e+07
57,-1.0,6,yx,-0.014417892,-9.737465e+07
58,-1.0,6,yy,-9.737465e+07,-9.737465e+07
59,-1.0,6,yz,-4.651171,-9.737465e+07
60,-1.0,6,zx,-0.016755655,-9.737465e+07
61,-1.0,6,zy,-4.651171,-9.737465e+07
62,-1.0,6,zz,-9.742636e+07,-9.737465e+07
63,-1.0,7,xx,-9.7374664e+07,-9.737465e+07
64,-1.0,7,xy,-0.008232085,-9.737465e+07
65,-1.0,7,xz,0.00937039,-9.737465e+07
66,-1.0,7,yx,-0.008232085,-9.737465e+07
67,-1.0,7,yy,-9.737465e+07,-9.737465e+07
68,-1.0,7,yz,-5.450909,-9.737465e+07
69,-1.0,7,zx,0.00937039,-9.737465e+07
70,-1.0,7,zy,-5.450909,-9.737465e+07
71,-1.0,7,zz,-9.742636e+07,-9.737465e+07
72,-1.0,8,xx,-9.7374664e+07,-9.737465e+07
73,-1.0,8,xy,-0.018076679,-9.737465e+07
74,-1.0,8,xz,-0.004593073,-9.737465e+07
75,-1.0,8,yx,-0.018076679,-9.737465e+07
76,-1.0,8,yy,-9.737465e+07,-9.737465e+07
77,-1.0,8,yz,-6.2251806,-9.737465e+07
78,-1.0,8,zx,-0.004593073,-9.737465e+07
79,-1.0,8,zy,-6.2251806,-9.737465e+07
80,-1.0,8,zz,-9.742636e+07,-9.737465e+07
81,-1.0,9,xx,-9.7374664e+07,-9.737465e+07
